# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 0.0,0.0,0,0.0,-114.48880482507715,0.0,-3.625221481229602,-0.27584521530000977,0.0,0.0
 0.05751317254488122,0.008269412540443196,0.14378293136220302,2.4999999999999996,-114.48880482507715,0.0,-3.625221481229602,-0.27584521530000977,0.0,0.0
 0.08128899277868873,0.01651975086743427,0.34700541330892487,8.547443577057082,-116.20452675179767,0.0,-3.6138909434641104,-0.2767100655897064,-72.16247052040165,-3035.120126698796
 0.09951599086437618,0.02475858109429651,0.4520124591076624,5.761071861920761,-117.91171928446933,0.0,-3.592515611696526,-0.27835647999529806,-93.66284698368435,-1179.589549645348
 0.11487960383329224,0.032993308442235435,0.5359889867441712,5.465936157491835,-119.60720659964666,0.0,-3.5614619992467307,-0.2807835659095915,-110.35733057111469,-1086.6248467210767
 0.1284229860145754,0.04123115834224959,0.6082564746196694,5.336000041065899,-121.28793707847207,0.0,-3.5212176896773384,-0.2839926662107714,-124.09976003986434,-1014.6970147339973
 0.14068284768595185,0.04947915908257183,0.6727645842513187,5.261732257734918,-122.95101316394508,0.0,-3.4723754937979403,-0.28798728760357695,-135.65210848633393,-942.2902766873215
 0.15197911196842562,0.05774412618677814,0.7316548991359438,5.213255764208163,-124.59371721925787,0.0,-3.4156152286161365,-0.2927730242042392,-145.42011537933553,-864.7112575222526
 0.16252095084929163,0.06603264866239468,0.7862501570442929,5.178912192202282,-126.21353290767703,0.0,-3.3516840559557157,-0.29835747740693747,-153.6558950221872,-781.2469661056992
 0.17245414139756918,0.07435107721293197,0.8374377306171515,5.153185507121353,-127.80816181277804,0.0,-3.281376312462296,-0.3047501733349245,-160.5354188415854,-692.5794673888669
 0.181885144483985,0.08270551445990025,0.885848214703886,5.133121433971717,-129.37553521215324,0.0,-3.2055136989719135,-0.3119624790000818,-166.1937107870114,-599.9671396117018
 0.19089453337095638,0.09110180717728797,0.9319491946373543,5.116993007165623,-130.91382109873106,0.0,-3.124926579589264,-0.3200075184267013,-170.74253380297156,-504.8980650106323
 0.1995450229905937,0.09954554050079145,0.9760988909038758,5.103722240912016,-132.42142670056316,0.0,-3.04043699283183,-0.3289000898086728,-174.27980011786877,-408.90937628169956
 0.20788654024630085,0.10804203403894219,1.0185789080922376,5.092600768678817,-133.89699687734856,0.0,-2.952843809130037,-0.3386565848515431,-176.89469811691845,-313.47990046541827
 0.21595957009023023,0.11659633978389271,1.0596152758413295,5.083143323191075,-135.33940886565796,0.0,-2.862910302776207,-0.349294911206364,-178.6704640258513,-219.96275788180813
 0.2237974456479725,0.12521324169639306,1.099392539345507,5.075005747556876,-136.74776390575815,0.0,-2.7713542483471576,-0.3608344189835718,-179.68581278494884,-129.5438734153629
 0.23142796444894553,0.13389725682245604,1.1380635252422941,5.0679366508940085,-138.12137631133726,0.0,-2.6788405177803614,-0.3732958320447467,-180.0155980749209,-43.21924872657764
 0.23887455937207908,0.14265263778801238,1.1757563095525618,5.061747644305389,-139.4597605450513,0.0,-2.58597604348854,-0.3867011848458493,-179.73103781383725,38.21347394627679
 0.24615716647061092,0.1514833765121002,1.2125793146067259,5.0562943401941105,-140.76261684043942,0.0,-2.4933069334789923,-0.40107376535654493,-178.89970964529743,114.15254966966548
 0.25329288105124315,0.16039320897809806,1.2486251188046322,5.051463842982452,-142.02981587152874,0.0,-2.4013174705182587,-0.41643806463631705,-177.5854424627264,184.1815795348932
 0.26029646244652094,0.16938562090543277,1.283973358744414,5.047166291751179,-143.2613829191414,0.0,-2.3104307011239933,-0.43281973335686436,-175.84818082403575,248.05332309866614
 0.2671807284745203,0.1784638541704384,1.3186929773026013,5.043329008056536,-144.45748192412344,0.0,-2.2210103117407867,-0.45024554578326953,-173.74386755499458,305.66995239327304
 0.273956868016562,0.18763091383360997,1.352843991227706,5.039892362490325,-145.6183997546253,0.0,-2.133363501760916,-0.46874337128885085,-171.32436888276226,357.0615181728284
 0.2806346918262253,0.19688957564100112,1.3864788996069621,5.0368068008299325,-146.74453095327868,0.0,-2.0477445825679625,-0.48834215385688173,-168.63745297140127,402.3640017984273
 0.287222836055202,0.20624239387898363,1.4196438197035715,5.034030668414904,-147.83636317040973,0.0,-1.964359063817264,-0.5090718995420003,-165.72682369776217,441.79805002405226
 0.29372892909879306,0.21569170947380956,1.4523794128849923,5.03152859359544,-148.89446343590092,0.0,-1.8833680198727072,-0.5309636722341647,-162.63220621068155,475.6491286470387
 0.30015972963717175,0.22523965823965017,1.484721646839914,5.02927026921531,-149.91946537392423,0.0,-1.8048925655681731,-0.5540495977860067,-159.3894775473349,504.24960998155245
 0.3065212418028457,0.23488817919089655,1.5167024286000443,5.027229521417144,-150.9120574234395,0.0,-1.7290183037737796,-0.578362876678278,-156.03083412639162,527.9630586994984
 0.31281881199576705,0.24463902284610775,1.5483501344965378,5.025383588747651,-151.87297209272947,0.0,-1.6557996387852099,-0.6039378053818503,-152.58498751948133,547.1708137185205
 0.31905721083333766,0.25449375946187236,1.5796900570727703,5.0237125570568875,-152.80297624799582,0.0,-1.5852638774081187,-0.6308098066518643,-149.07738018695048,562.2608338867972
 0.3252407029539702,0.2644537871449818,1.6107447844682654,5.022198911174235,-153.70286241366642,0.0,-1.5174150641750346,-0.6590154688780983,-145.53041357777965,573.6186834192968
